"","Name","IOC","DOB","Height","Weight","Turn.Pro","Prz","Rk","CH","Date","Titles","W","L","country_type","Region","CH_age","Background","sex"
"638","LU Jing-Jing","China",1989-05-05,0,0,0,380786,623,159,2018-01-15,0,271,204,"developing","ASIA",28,"West","Female"
"639","Chanelle VAN NGUYEN","United States",1994-01-19,0,0,0,29651,624,447,2017-08-07,0,97,86,"developed","NORTHERN_AMERICA",23,"East","Female"
"640","Viktoria MORVAYOVA","Slovakia",2001-03-10,0,0,0,15045,625,604,2019-09-16,0,61,50,"developed","EUROPE",18,"West","Female"
"641","Oana GAVRILA","Romania",1998-04-19,0,0,0,40534,626,505,2017-09-11,0,104,79,"developed","EUROPE",19,"West","Female"
"642","Renata VORACOVA","Czech Republic",1983-10-06,0,0,0,1726979,627,74,2010-10-11,0,499,419,"developed","EUROPE",27,"West","Female"
"643","Melanie KLAFFNER","Austria",1990-05-22,171,65,0,228384,628,175,2014-01-27,0,379,263,"developed","EUROPE",23,"East","Female"
"644","Aunchisa CHANTA","Thailand",2002-09-12,0,0,0,9473,629,586,2019-06-24,0,32,27,"developing","ASIA",16,"East","Female"
"645","Sakura HONDO","Japan",1999-03-03,0,0,0,12472,630,577,2019-02-18,0,57,56,"developed","ASIA",19,"East","Female"
"646","Ellie DOUGLAS","United States",2000-05-23,0,0,0,10632,631,594,2019-02-25,0,44,37,"developed","NORTHERN_AMERICA",18,"East","Female"
"647","Draginja VUKOVIC","Serbia",2000-04-27,0,0,0,22647,632,557,2019-08-05,0,61,52,"developing","EUROPE",19,"West","Female"
"648","Ines MURTA","Portugal",1997-05-31,0,0,0,46521,633,548,2016-12-19,0,130,124,"developed","EUROPE",19,"East","Female"
"649","Ramu UEDA","Japan",1998-03-18,0,0,0,31814,634,527,2019-01-14,0,106,115,"developed","ASIA",20,"West","Female"
"652","Emily APPLETON","United Kingdom",1999-09-01,0,0,0,50557,637,501,2018-10-22,0,100,92,"developed","EUROPE",19,"East","Female"
"653","Cristina DINU","Romania",1993-01-18,0,0,0,189248,638,179,2013-09-30,0,354,208,"developed","EUROPE",20,"West","Female"
"654","Olga IANCHUK","Ukraine",1995-03-29,0,0,0,141054,639,213,2017-08-14,0,256,192,"developing","EUROPE",22,"West","Female"
"655","Amra SADIKOVIC","Switzerland",1989-05-06,186,76,0,301943,639,126,2016-07-18,0,314,235,"developed","EUROPE",27,"East","Female"
"656","Maria GUTIERREZ CARRASCO","Spain",1997-09-15,0,0,0,26467,640,439,2019-05-06,0,123,122,"developed","EUROPE",21,"East","Female"
"657","Elizaveta KULICHKOVA","Russia",1996-04-12,179,55,2012,481929,640,87,2016-02-22,0,156,89,"developing","EUROPE",19,"West","Female"
"658","Alexandra OSBORNE","Australia",1995-04-08,0,0,0,9990,641,626,2019-10-21,0,41,37,"developed","OCEANIA",24,"East","Female"
"659","Oleksandra OLIYNYKOVA","Croatia",2001-01-03,0,0,0,16143,642,632,2019-10-21,0,69,37,"developed","EUROPE",18,"West","Female"
"660","Manon ARCANGIOLI","France",1994-08-28,162,59,0,213376,643,268,2015-03-02,0,287,234,"developed","EUROPE",20,"West","Female"
"661","Mira ANTONITSCH","Austria",1998-12-16,169,65,0,31940,644,507,2017-06-12,0,83,65,"developed","EUROPE",18,"West","Female"
"662","GUO Shanshan","China",1996-08-09,0,0,0,35610,645,479,2017-03-06,0,101,88,"developing","ASIA",20,"East","Female"
"664","Pranjala YADLAPALLI","India",1999-03-30,0,0,0,41313,647,265,2019-05-13,0,102,59,"developing","ASIA",20,"West","Female"
"666","ZHENG Qinwen","China",2002-10-08,0,0,0,12720,649,633,2019-07-01,0,28,20,"developing","ASIA",16,"West","Female"
"667","Fiona GANZ","Switzerland",2000-09-16,0,0,0,17119,650,639,2019-10-21,0,42,45,"developed","EUROPE",19,"West","Female"
"668","LEE Eunhye","South Korea",2000-05-10,0,0,0,13101,651,595,2019-06-24,0,88,53,"developing","ASIA",19,"West","Female"
"669","Ainhoa ATUCHA GOMEZ","Spain",1993-05-24,0,0,0,34252,652,640,2019-07-15,0,103,158,"developed","EUROPE",26,"West","Female"
"671","CAO Siqi","China",1999-01-17,0,0,0,26145,654,544,2019-04-01,0,85,75,"developing","ASIA",20,"West","Female"
"672","Lucia CORTEZ LLORCA","Spain",2000-06-05,0,0,0,16361,655,586,2019-07-22,0,86,74,"developed","EUROPE",19,"West","Female"
"673","Silvia SOLER-ESPINOSA","Spain",1987-11-19,169,61,2006,2108331,656,54,2012-05-21,0,418,386,"developed","EUROPE",24,"West","Female"
"674","YANG Zhaoxuan","China",1995-02-11,0,0,0,957354,657,151,2015-09-14,0,136,132,"developing","ASIA",20,"West","Female"
"675","Guzal YUSUPOVA","Uzbekistan",1997-12-19,0,0,0,11872,657,641,2018-12-31,0,27,45,"developing","ASIA",21,"West","Female"
"676","Emeline DARTRON","France",2000-04-12,0,0,0,14395,658,649,2019-10-21,0,56,50,"developed","EUROPE",19,"West","Female"
"677","Sarah Beth GREY","United Kingdom",1995-08-10,0,0,0,69089,659,426,2018-10-15,0,109,138,"developed","EUROPE",23,"West","Female"
"679","Karolina BERANKOVA","Czech Republic",2000-10-04,0,0,0,18886,661,600,2019-08-19,0,56,42,"developed","EUROPE",18,"West","Female"
"680","Lisa PONOMAR","Germany",1997-05-21,0,0,0,45856,662,630,2018-05-21,0,163,137,"developed","EUROPE",21,"West","Female"
"682","Julie COIN","France",1982-12-02,172,65,1999,815962,663,60,2009-07-27,0,362,269,"developed","EUROPE",26,"West","Female"
"683","Maria MARFUTINA","Russia",1997-06-06,0,0,0,65032,664,354,2016-05-09,0,193,106,"developing","EUROPE",18,"East","Female"
"684","Kanako MORISAKI","Japan",1996-09-05,0,0,0,21769,665,637,2019-06-17,0,49,46,"developed","ASIA",22,"East","Female"
"685","Emilie LINDH GALLAGHER","United Kingdom",2000-01-12,0,0,0,16458,666,643,2019-09-09,0,60,42,"developed","EUROPE",19,"West","Female"
"687","Anna UREKE","Russia",1999-11-02,0,0,0,22536,668,638,2019-09-23,0,60,48,"developing","EUROPE",19,"West","Female"
"688","Anastasiya VASYLYEVA","Ukraine",1992-01-18,0,0,0,234775,668,129,2014-08-11,0,367,271,"developing","EUROPE",22,"West","Female"
"689","Freya CHRISTIE","United Kingdom",1997-11-08,0,0,0,95953,669,286,2016-10-31,0,145,128,"developed","EUROPE",18,"West","Female"
"690","Ingrid NEEL","United States",1998-06-16,0,0,0,72130,670,501,2015-06-08,0,103,79,"developed","NORTHERN_AMERICA",16,"West","Female"
"691","ZHANG Ying","China",1996-04-15,0,0,0,58462,671,356,2017-03-06,0,102,124,"developing","ASIA",20,"West","Female"
"692","Hayley CARTER","United States",1995-05-17,0,0,0,62772,672,438,2019-07-29,0,62,43,"developed","NORTHERN_AMERICA",24,"West","Female"
"693","Justina MIKULSKYTE","Lithuania",1996-02-06,0,0,0,16486,673,673,2019-11-04,0,52,27,"developed","EUROPE",23,"West","Female"
"694","Darya ASTAKHOVA","Russia",2002-01-26,0,0,0,11315,674,674,2019-11-04,0,43,18,"developing","EUROPE",17,"West","Female"
"696","Sofya GOLUBOVSKAYA","Russia",2000-05-11,0,0,0,10454,675,611,2018-12-31,0,43,38,"developing","EUROPE",18,"West","Female"
"697","Nika KUKHARCHUK","Russia",1987-02-08,0,0,0,70100,676,371,2018-08-13,0,186,204,"developing","EUROPE",31,"East","Female"
"699","Gabriela HORACKOVA","Czech Republic",1991-06-04,0,0,0,31456,678,665,2018-06-18,0,122,127,"developed","EUROPE",27,"West","Female"
"701","Marie TEMIN","France",1992-07-24,0,0,0,32507,680,568,2017-10-09,0,132,96,"developed","EUROPE",25,"West","Female"
"702","Mathilde ARMITANO","France",1997-06-04,0,0,0,34923,681,655,2018-08-06,0,123,127,"developed","EUROPE",21,"East","Female"
"704","Polina LEYKINA","Russia",1994-09-20,0,0,0,140259,683,184,2016-08-01,0,255,210,"developing","EUROPE",21,"East","Female"
"705","Ekaterina BYCHKOVA","Russia",1985-06-05,171,59,2000,1000612,683,66,2006-02-20,0,387,318,"developing","EUROPE",20,"West","Female"
"706","Linnea MALMQVIST","Sweden",1998-05-30,0,0,0,35079,684,626,2019-08-05,0,114,111,"developed","EUROPE",21,"West","Female"
"707","Loudmilla BENCHEIKH","France",2001-05-29,0,0,0,30279,685,503,2019-07-22,0,29,36,"developed","EUROPE",18,"West","Female"
"708","Julia BOSERUP","United States",1991-09-09,181,66,2010,663898,686,80,2017-06-26,0,212,218,"developed","NORTHERN_AMERICA",25,"West","Female"
"710","Mei YAMAGUCHI","Japan",1999-06-14,0,0,0,13241,687,567,2018-10-29,0,50,44,"developed","ASIA",19,"West","Female"
"712","Chompoothip JUNDAKATE","Thailand",1995-11-03,0,0,0,18452,689,540,2019-06-24,0,54,75,"developing","ASIA",23,"West","Female"
"713","Xenia KNOLL","Switzerland",1992-09-02,0,0,0,304771,690,254,2015-03-23,0,200,148,"developed","EUROPE",22,"West","Female"
"714","Rasheeda MCADOO","United States",1995-06-30,0,0,0,22528,691,598,2019-05-06,0,60,60,"developed","NORTHERN_AMERICA",23,"West","Female"
"715","Ksenia PALKINA","Kyrgyzstan",1989-12-13,174,66,2008,221121,692,163,2009-03-23,0,379,316,"developing","ASIA",19,"West","Female"
"716","Valeriya ZELEVA","Russia",1998-10-20,0,0,0,18651,693,539,2018-06-11,0,50,45,"developing","EUROPE",19,"West","Female"
"717","Lexie STEVENS","Netherlands",1999-06-08,0,0,0,10843,693,693,2019-11-04,0,48,27,"developed","EUROPE",20,"West","Female"
"718","Iva PRIMORAC","Croatia",1996-04-10,0,0,0,36124,694,529,2019-07-15,0,167,128,"developed","EUROPE",23,"East","Female"
"719","Gail BRODSKY","United States",1991-06-05,0,0,0,179263,695,182,2012-03-19,0,188,136,"developed","NORTHERN_AMERICA",20,"West","Female"
"720","Dalila SPITERI","Italy",1997-04-24,0,0,0,34594,696,456,2018-10-22,0,137,111,"developed","EUROPE",21,"West","Female"
"721","Anastasia TIKHONOVA","Russia",2001-01-21,0,0,0,9105,697,642,2019-05-27,0,24,14,"developing","EUROPE",18,"West","Female"
"722","Daria KUDASHOVA","Russia",2003-03-28,0,0,0,12276,698,687,2019-09-16,0,32,12,"developing","EUROPE",16,"West","Female"
"723","Susanne CELIK","Sweden",1994-12-06,0,0,0,121798,699,153,2016-07-18,0,175,130,"developed","EUROPE",21,"East","Female"
"724","Watsachol SAWASDEE","Thailand",2000-01-17,0,0,0,14543,700,692,2019-10-21,0,54,53,"developing","ASIA",19,"East","Female"
"725","Jessica HO","United States",1997-01-05,0,0,0,27655,701,509,2019-02-18,0,124,94,"developed","NORTHERN_AMERICA",22,"West","Female"
"726","Irina FALCONI","United States",1990-05-04,163,61,2010,1740814,702,63,2016-05-23,1,323,250,"developed","NORTHERN_AMERICA",26,"West","Female"
"727","Maria-Teresa TORRO-FLOR","Spain",1992-05-02,178,62,0,1054057,702,47,2014-05-05,1,269,177,"developed","EUROPE",22,"East","Female"
"728","Viktoriya KANAPATSKAYA","Belarus",2002-11-05,0,0,0,10285,703,703,2019-11-04,0,25,16,"developing","EUROPE",17,"East","Female"
"729","Ani MIJACIKA","Croatia",1987-06-15,0,0,0,90964,704,193,2011-10-17,0,203,114,"developed","EUROPE",24,"East","Female"
"730","Ksenia LASKUTOVA","Russia",1996-08-29,0,0,0,17741,704,478,2019-05-13,0,73,50,"developing","EUROPE",22,"West","Female"
"731","Julia STAMATOVA","Bulgaria",1993-06-04,0,0,0,91867,705,451,2015-12-21,0,334,297,"developed","EUROPE",22,"West","Female"
"732","KANG Jiaqi","China",1997-07-19,0,0,0,70696,706,341,2017-10-02,0,144,129,"developing","ASIA",20,"West","Female"
"733","Ekaterina SHALIMOVA","Russia",2000-06-01,0,0,0,17131,707,690,2019-09-30,0,40,35,"developing","EUROPE",19,"West","Female"
"734","Jade SUVRIJN","France",1995-04-27,0,0,0,82082,708,345,2014-06-23,0,232,165,"developed","EUROPE",19,"West","Female"
"735","Alice GILLAN","United Kingdom",1998-08-15,0,0,0,15115,709,685,2019-10-21,0,54,59,"developed","EUROPE",21,"West","Female"
"736","Salma DJOUBRI","France",2002-12-20,0,0,0,13489,710,708,2019-03-18,0,66,62,"developed","EUROPE",16,"West","Female"
"738","Misaki MATSUDA","Japan",1998-08-21,0,0,0,10431,712,699,2019-06-17,0,41,28,"developed","ASIA",20,"West","Female"
"739","Arlinda RUSHITI","Switzerland",1999-03-27,0,0,0,19177,713,668,2018-07-16,0,105,85,"developed","EUROPE",19,"West","Female"
"740","Veronica MIROSHNICHENKO","Russia",1997-11-19,0,0,0,12319,714,601,2017-02-27,0,63,36,"developing","EUROPE",19,"West","Female"
"742","Kennedy SHAFFER","United States",1997-05-21,0,0,0,15900,715,506,2019-04-22,0,74,42,"developed","NORTHERN_AMERICA",21,"West","Female"
"743","Amanda RODGERS","United States",1993-03-22,0,0,0,24028,715,491,2018-08-27,0,98,116,"developed","NORTHERN_AMERICA",25,"East","Female"
"744","Alana PARNABY","Australia",1994-09-15,0,0,0,23659,716,608,2019-07-29,0,99,114,"developed","OCEANIA",24,"East","Female"
"745","Sarah LEE","United States",1993-08-14,0,0,0,18060,717,717,2019-11-04,0,62,45,"developed","NORTHERN_AMERICA",26,"East","Female"
"746","Anhzelika ISAEVA","Russia",2000-11-20,0,0,0,17365,718,676,2016-10-10,0,80,66,"developing","EUROPE",15,"West","Female"
"747","YUAN Chengyiyi","China",2000-08-24,0,0,0,14802,719,667,2018-12-31,0,56,56,"developing","ASIA",18,"West","Female"
"748","Ange KAJURU","Japan",2002-01-26,0,0,0,13647,720,698,2019-10-14,0,58,49,"developed","ASIA",17,"West","Female"
"749","Ania HERTEL","Poland",2000-10-27,0,0,0,13936,721,694,2019-08-12,0,39,34,"developed","EUROPE",18,"East","Female"
"750","Marina ERAKOVIC","New Zealand",1988-03-06,174,67,2006,2605983,721,39,2012-05-07,1,367,250,"developed","OCEANIA",24,"West","Female"
"751","Caroline ROMEO","France",1994-07-16,0,0,0,64571,722,401,2016-08-01,0,204,151,"developed","EUROPE",22,"East","Female"
"753","Jessica LIVIANU","United States",1998-02-22,0,0,0,5133,724,724,2019-11-04,0,18,12,"developed","NORTHERN_AMERICA",21,"West","Female"
"754","Sandra JAMRICHOVA","Slovakia",1997-09-14,0,0,0,15528,725,603,2017-08-07,0,59,57,"developed","EUROPE",19,"East","Female"
"755","Paula KANIA","Poland",1992-11-06,168,58,2008,624547,725,128,2015-06-15,0,236,199,"developed","EUROPE",22,"West","Female"
"757","Angela FITA BOLUDA","Spain",1999-07-12,0,0,0,25357,727,710,2019-10-14,0,104,78,"developed","EUROPE",20,"West","Female"
"758","Elena MALYGINA","Estonia",2000-05-27,0,0,0,15070,728,702,2019-08-26,0,58,41,"developed","EUROPE",19,"West","Female"
"759","Merel HOEDT","Netherlands",1999-08-20,0,0,0,22054,729,624,2018-12-24,0,57,49,"developed","EUROPE",19,"West","Female"
"760","Marianna ZAKARLYUK","Ukraine",1996-09-22,0,0,0,51832,730,417,2013-12-23,0,209,153,"developing","EUROPE",17,"West","Female"
"761","Anastasia SUKHOTINA","Russia",2000-03-13,0,0,0,17167,731,607,2019-08-05,0,51,55,"developing","EUROPE",19,"West","Female"
"762","Katharina HERING","Germany",1995-02-28,0,0,0,41273,732,672,2016-10-10,0,167,177,"developed","EUROPE",21,"West","Female"
"763","Beatrice GUMULYA","Indonesia",1991-01-01,0,0,0,58721,733,564,2016-06-06,0,114,104,"developing","ASIA",25,"West","Female"
"764","Andreea PRISACARIU","Romania",2000-02-09,0,0,0,18672,734,698,2019-09-16,0,63,52,"developed","EUROPE",19,"West","Female"
"765","Federica ARCIDIACONO","Italy",1993-04-14,0,0,0,41903,735,595,2017-11-20,0,168,163,"developed","EUROPE",24,"West","Female"
"766","Himeno SAKATSUME","Japan",2001-08-03,0,0,0,10662,736,599,2019-08-19,0,37,29,"developed","ASIA",18,"West","Female"
"767","Taisya PACHKALEVA","Russia",2001-04-06,0,0,0,9358,737,737,2019-11-04,0,27,14,"developing","EUROPE",18,"West","Female"
"768","Irys EKANI","France",1997-10-04,0,0,0,10454,738,738,2019-11-04,0,52,48,"developed","EUROPE",22,"West","Female"
"769","Eliessa VANLANGENDONCK","Belgium",1997-04-07,0,0,0,35686,739,617,2018-11-19,0,158,114,"developed","EUROPE",21,"West","Female"
"771","Catherine BELLIS","United States",1999-04-08,168,50,0,1087219,740,35,2017-08-14,0,117,58,"developed","NORTHERN_AMERICA",18,"East","Female"
"772","Ariana ARSENEAULT","Canada",2002-06-15,0,0,0,8803,740,651,2019-07-29,0,14,19,"developed","NORTHERN_AMERICA",17,"West","Female"
"773","Haley GIAVARA","United States",2000-10-16,0,0,0,11592,741,650,2019-07-29,0,30,40,"developed","NORTHERN_AMERICA",18,"West","Female"
"774","TANG Qianhui","China",2000-09-10,0,0,0,122862,742,617,2019-06-24,0,56,56,"developing","ASIA",18,"West","Female"
"775","Elina AVANESYAN","Russia",2002-09-17,0,0,0,8623,743,735,2019-10-07,0,21,13,"developing","EUROPE",17,"East","Female"
"776","Eleni KORDOLAIMI","Greece",1993-03-07,0,0,0,59513,744,435,2018-12-10,0,187,116,"developed","EUROPE",25,"West","Female"
"777","Lisa SABINO","Switzerland",1986-07-26,0,0,0,147391,745,315,2008-12-01,0,451,294,"developed","EUROPE",22,"West","Female"
"778","Madison WESTBY","United States",1996-04-02,0,0,0,13519,746,670,2019-08-05,0,47,46,"developed","NORTHERN_AMERICA",23,"West","Female"
"779","Barbora MATUSOVA","Slovakia",1999-12-08,0,0,0,10092,747,747,2019-10-07,0,36,38,"developed","EUROPE",19,"West","Female"
"780","Bojana MARINKOVIC","Serbia",1996-10-30,0,0,0,53927,748,509,2017-10-16,0,187,176,"developing","EUROPE",20,"West","Female"
"781","Shuko AOYAMA","Japan",1987-12-19,154,0,2010,1171748,749,182,2015-02-09,0,230,198,"developed","ASIA",27,"West","Female"
"782","Maria SHUSHARINA","Russia",2002-08-19,0,0,0,4319,750,691,2019-09-23,0,22,10,"developing","EUROPE",17,"West","Female"
"783","Nikola TOMANOVA","Czech Republic",1996-03-01,0,0,0,21357,751,614,2019-08-05,0,74,57,"developed","EUROPE",23,"West","Female"
"784","Kelia LE BIHAN","France",1999-01-07,0,0,0,15183,752,681,2019-07-22,0,59,90,"developed","EUROPE",20,"West","Female"
"785","Ani VANGELOVA","Bulgaria",1993-07-14,0,0,0,51417,753,685,2017-05-08,0,127,214,"developed","EUROPE",23,"West","Female"
"786","Zeel DESAI","India",1999-02-18,0,0,0,23749,754,562,2018-10-08,0,67,50,"developing","ASIA",19,"West","Female"
"788","Yukina SAIGO","Japan",1996-04-27,0,0,0,34629,756,747,2019-10-21,0,116,128,"developed","ASIA",23,"East","Female"
"789","Constance SIBILLE","France",1990-11-09,0,0,0,117443,757,265,2014-07-07,0,282,219,"developed","EUROPE",23,"West","Female"
"791","NG Man Ying","Hong Kong",1996-03-28,0,0,0,13903,759,640,2019-06-10,0,36,47,"developing","ASIA",23,"West","Female"
"792","Elena VESNINA","Russia",1986-08-01,176,65,2002,12527014,759,13,2017-03-20,3,416,336,"developing","EUROPE",30,"West","Female"
"793","Anna PRIBYLOVA","Russia",1997-12-18,0,0,0,36250,760,603,2018-12-03,0,118,125,"developing","EUROPE",20,"West","Female"
"794","Angelina ZHURAVLEVA","Russia",1996-11-20,0,0,0,35347,761,627,2018-12-17,0,135,125,"developing","EUROPE",22,"East","Female"
"795","Tamaryn HENDLER","Belgium",1992-08-12,0,0,0,117979,762,178,2012-07-09,0,166,109,"developed","EUROPE",19,"East","Female"
"796","Katrina SCOTT","United States",2004-06-11,0,0,0,21266,762,734,2019-09-16,0,7,7,"developed","NORTHERN_AMERICA",15,"East","Female"
"797","Alexandra PANOVA","Russia",1989-03-02,179,63,0,1270643,763,71,2012-07-30,0,391,295,"developing","EUROPE",23,"West","Female"
"798","CHOI Ji-Hee","South Korea",1995-02-10,0,0,0,92066,764,339,2016-06-06,0,171,149,"developing","ASIA",21,"West","Female"
"799","Federica BILARDO","Italy",1999-07-06,0,0,0,31765,765,547,2018-06-18,0,101,89,"developed","EUROPE",18,"West","Female"
"801","Aurora ZANTEDESCHI","Italy",2000-11-02,0,0,0,11539,767,759,2019-10-21,0,27,23,"developed","EUROPE",18,"West","Female"
"802","Alexandra PERPER","Moldova",1991-07-29,0,0,0,52945,768,406,2018-06-25,0,181,121,"developing","EUROPE",26,"West","Female"
"803","Dorka DRAHOTA SZABO","Hungary",2002-01-31,0,0,0,8070,769,769,2019-11-04,0,23,18,"developed","EUROPE",17,"West","Female"
"804","Sofia SEWING","United States",1999-07-22,0,0,0,13347,770,750,2019-10-07,0,49,37,"developed","NORTHERN_AMERICA",20,"West","Female"
"805","Alice ROBBE","France",2000-05-10,0,0,0,8840,771,707,2019-07-15,0,28,40,"developed","EUROPE",19,"West","Female"
"806","Almudena SANZ-LLANEZA FERNANDEZ","Spain",1991-03-03,0,0,0,16524,772,772,2019-11-04,0,85,95,"developed","EUROPE",28,"West","Female"
"807","Aleksandra PITAK","United Kingdom",2001-04-27,0,0,0,15841,773,753,2019-10-21,0,52,62,"developed","EUROPE",18,"West","Female"
"808","Sakura HOSOGI","Japan",2000-03-25,0,0,0,10375,774,774,2019-11-04,0,53,38,"developed","ASIA",19,"West","Female"
"809","Jasmin JEBAWY","Germany",1996-10-04,0,0,0,25013,775,594,2015-09-28,0,67,98,"developed","EUROPE",18,"West","Female"
"810","Agnes BUKTA","Hungary",1993-10-29,0,0,0,99402,776,294,2017-10-16,0,229,159,"developed","EUROPE",23,"East","Female"
"811","Dalayna HEWITT","United States",2000-12-16,0,0,0,7848,777,777,2019-11-04,0,23,22,"developed","NORTHERN_AMERICA",18,"West","Female"
"812","Elena BOVINA","Russia",1983-03-10,189,72,0,1997254,777,14,2005-04-04,3,425,254,"developing","EUROPE",22,"East","Female"
"813","Sara GAMBOGI","Italy",1999-02-16,0,0,0,6005,778,778,2019-11-04,0,36,30,"developed","EUROPE",20,"West","Female"
"814","Angelica RAGGI","Italy",1998-11-14,0,0,0,12734,779,732,2019-08-05,0,55,52,"developed","EUROPE",20,"West","Female"
"815","Rocio DE LA TORRE-SANCHEZ","Spain",1990-10-19,0,0,0,55883,779,347,2012-09-24,0,197,127,"developed","EUROPE",21,"East","Female"
"817","Oksana SELEKHMETEVA","Russia",2003-01-13,0,0,0,4384,781,668,2019-06-24,0,13,9,"developing","EUROPE",16,"West","Female"
"818","JIANG Xinyu","China",1999-03-03,0,0,0,147830,782,561,2017-05-29,0,58,62,"developing","ASIA",18,"West","Female"
"819","WU Mei","China",2000-05-21,0,0,0,14635,783,647,2019-05-13,0,38,38,"developing","ASIA",18,"West","Female"
"820","Himari SATO","Japan",2002-04-10,0,0,0,11460,784,771,2019-09-16,0,34,41,"developed","ASIA",17,"West","Female"
"821","Hiromi ABE","Japan",2000-05-02,0,0,0,4036,785,675,2019-01-14,0,12,9,"developed","ASIA",18,"West","Female"
"822","Alisa KLEYBANOVA","Russia",1989-07-15,181,72,2003,2492031,786,20,2011-02-21,2,307,150,"developing","EUROPE",21,"West","Female"
"823","Marta LESNIAK","Poland",1988-03-15,0,0,0,39305,786,424,2017-12-25,0,105,35,"developed","EUROPE",29,"East","Female"
"824","Ilona KREMEN","Belarus",1994-01-18,0,0,0,132529,787,201,2013-06-24,0,221,168,"developing","EUROPE",19,"West","Female"
"825","Estrella CABEZA CANDELA","Spain",1987-02-20,173,64,0,506892,788,95,2013-05-13,0,469,303,"developed","EUROPE",26,"East","Female"
"826","Amber MARSHALL","Australia",2001-07-19,0,0,0,7566,789,789,2019-11-04,0,24,21,"developed","OCEANIA",18,"West","Female"
"827","Shiho AKITA","Japan",1990-01-18,0,0,0,115286,790,221,2017-05-08,0,288,218,"developed","ASIA",27,"East","Female"
"828","JEONG Sunam","South Korea",1996-06-06,0,0,0,36844,791,357,2017-05-29,0,110,60,"developing","ASIA",20,"West","Female"
"829","Karolina KUBANOVA","Czech Republic",2001-05-28,0,0,0,11785,792,778,2019-10-07,0,55,35,"developed","EUROPE",18,"West","Female"
"830","Stefania ROGOZINSKA DZIK","Poland",2001-07-07,0,0,0,8387,793,765,2019-07-01,0,26,19,"developed","EUROPE",17,"West","Female"
"832","Sowjanya BAVISETTI","India",1993-12-11,0,0,0,39267,795,571,2014-06-09,0,124,122,"developing","ASIA",20,"West","Female"
"833","Yekaterina DMITRICHENKO","Kazakhstan",2001-10-16,0,0,0,15318,796,723,2019-09-09,0,41,50,"developing","ASIA",17,"East","Female"
"834","Ayaka OKUNO","Japan",1995-06-21,0,0,0,101671,797,263,2016-02-22,0,160,194,"developed","ASIA",20,"West","Female"
"835","Nicole MELICHAR","United States",1993-07-29,181,0,0,1212117,798,400,2012-09-24,0,140,133,"developed","NORTHERN_AMERICA",19,"West","Female"
"836","ZHANG Ling","Hong Kong",1989-10-28,0,0,0,264123,799,184,2011-09-12,0,378,273,"developing","ASIA",21,"West","Female"
"837","Mariia TKACHEVA","Russia",2001-12-17,0,0,0,5917,800,791,2019-10-21,0,17,12,"developing","EUROPE",17,"West","Female"
"838","Ekaterina VISHNEVSKAYA","Russia",1999-11-27,0,0,0,20776,801,523,2018-10-22,0,55,41,"developing","EUROPE",18,"West","Female"
"839","Aneta LABOUTKOVA","Czech Republic",2000-05-10,0,0,0,18029,802,698,2019-08-05,0,70,62,"developed","EUROPE",19,"West","Female"
"840","Bunyawi THAMCHAIWAT","Thailand",1998-07-29,0,0,0,39955,803,410,2018-09-24,0,119,74,"developing","ASIA",20,"West","Female"
"841","Paula ARIAS MANJON","Spain",2000-02-26,0,0,0,15708,803,728,2019-09-16,0,68,47,"developed","EUROPE",19,"West","Female"
"842","Gabrielle SMITH","United States",1996-01-14,0,0,0,1908,804,785,2017-10-02,0,13,7,"developed","NORTHERN_AMERICA",21,"East","Female"
"844","Maria Joao KOEHLER","Portugal",1992-10-08,174,68,2009,332312,805,102,2013-02-25,0,266,197,"developed","EUROPE",20,"West","Female"
"845","Alexandra STEVENSON","United States",1980-12-15,185,71,1999,1472403,805,18,2002-10-28,0,427,448,"developed","NORTHERN_AMERICA",21,"West","Female"
"846","Mariana DRAZIC","Croatia",1995-01-08,0,0,0,40355,806,692,2016-11-28,0,124,149,"developed","EUROPE",21,"West","Female"
"847","Sofie OYEN","Belgium",1992-02-04,0,0,0,36938,806,403,2010-08-23,0,155,93,"developed","EUROPE",18,"West","Female"
"848","Raphaelle LACASSE","Canada",2000-08-16,0,0,0,8081,807,807,2019-11-04,0,24,26,"developed","NORTHERN_AMERICA",19,"East","Female"
"849","Mariam DALAKISHVILI","Georgia",2001-11-07,0,0,0,7595,808,791,2019-10-14,0,32,24,"developing","EUROPE",17,"West","Female"
"850","Timea JARUSKOVA","Slovakia",1996-05-15,0,0,0,11333,808,711,2018-12-17,0,85,78,"developed","EUROPE",22,"West","Female"
"851","Valentina RYSER","Switzerland",2001-03-22,0,0,0,6352,810,810,2019-11-04,0,22,16,"developed","EUROPE",18,"West","Female"
"852","Carole MONNET","France",2001-12-01,0,0,0,10191,811,726,2018-12-17,0,40,26,"developed","EUROPE",17,"East","Female"
"853","Olga PARRES AZCOITIA","Spain",1993-03-26,0,0,0,55704,812,682,2014-11-10,0,123,182,"developed","EUROPE",21,"West","Female"
"855","Martina SPIGARELLI","Italy",1992-05-12,0,0,0,41549,814,540,2015-09-14,0,157,163,"developed","EUROPE",23,"West","Female"
"856","Denisa HINDOVA","Czech Republic",2002-07-17,0,0,0,8817,815,736,2019-08-05,0,35,30,"developed","EUROPE",17,"East","Female"
"857","Stephanie VISSCHER","Netherlands",2000-01-25,0,0,0,13500,816,803,2019-08-19,0,53,43,"developed","EUROPE",19,"West","Female"
